# _tick,_time,step,total_loss,mean_episode_return,last_100_episode_returns,max_return_achieved,pg_loss,baseline_loss,entropy_loss,learning_rate
453,1693390021.782271,916464,8.791339238484701,0.08333333333333333,0.14000000059604645,6.0 at step 800640,17.399492263793945,0.0,-8.608153025309244,0.0003920587371353887
454,1693390023.696949,918496,-6.862704277038574,0.0625,0.12999999523162842,6.0 at step 800640,1.2336063385009766,0.0,-8.096309979756674,0.0003920587371353887
455,1693390025.6523368,920528,-99.63407135009766,0.125,0.14000000059604645,6.0 at step 800640,-92.06197992960612,0.0,-7.5720899899800616,0.0003920587371353887
456,1693390027.5779,922560,4.117372830708821,0.0625,0.12999999523162842,6.0 at step 800640,12.418248494466146,0.0,-8.300875663757324,0.0003920587371353887
457,1693390029.5311968,924592,8.537197748819986,0.041666666666666664,0.10999999940395355,6.0 at step 800640,15.865092913309732,0.0,-7.327895164489746,0.0003920587371353887
458,1693390031.494853,926624,8.54311752319336,0.08333333333333333,0.09000000357627869,6.0 at step 800640,16.79255739847819,0.0,-8.24944019317627,0.00039188249437080864
459,1693390033.424018,928656,-21.286003748575848,0.14583333333333334,0.14000000059604645,6.0 at step 800640,-13.413166681925455,0.0,-7.87283722559611,0.00039188249437080864
460,1693390035.3780632,930688,4.4198377927144366,0.020833333333333332,0.12999999523162842,6.0 at step 800640,11.736278216044107,0.0,-7.316440423329671,0.00039188249437080864
461,1693390037.327329,932720,-3.9920953114827475,0.020833333333333332,0.09000000357627869,6.0 at step 800640,2.9679210980733237,0.0,-6.960016409556071,0.00039188249437080864
462,1693390039.2759302,934752,-29.410736083984375,0.041666666666666664,0.07000000029802322,6.0 at step 800640,-21.540022532145183,0.0,-7.870713233947754,0.00039188249437080864
463,1693390041.2606778,936784,-29.971222559611004,0.041666666666666664,0.05000000074505806,6.0 at step 800640,-23.2189785639445,0.0,-6.752244313557942,0.0003917043578034752
464,1693390043.170061,938816,-9.521960576375326,0.041666666666666664,0.07000000029802322,6.0 at step 800640,-2.682628631591797,0.0,-6.839331309000651,0.0003917043578034752
465,1693390045.1429079,940848,-29.853471120198567,0.0,0.05000000074505806,6.0 at step 800640,-22.30846341451009,0.0,-7.545007069905599,0.0003917043578034752
466,1693390047.059148,942880,2.5640716552734375,0.041666666666666664,0.05000000074505806,6.0 at step 800640,9.768161137898764,0.0,-7.2040886878967285,0.0003917043578034752
467,1693390049.018889,944912,-11.42681630452474,0.041666666666666664,0.03999999910593033,6.0 at step 800640,-3.2238881587982178,0.0,-8.202928225199381,0.0003917043578034752
468,1693390050.978734,946944,0.9188505808512369,0.0,0.03999999910593033,6.0 at step 800640,7.934242248535156,0.0,-7.015391667683919,0.00039152432919152444
469,1693390052.9224849,948976,-7.779162724812825,0.08333333333333333,0.05999999865889549,6.0 at step 800640,-2.7555662790934243,0.0,-5.02359676361084,0.00039152432919152444
470,1693390054.8889081,951008,-20.207523345947266,0.0625,0.07999999821186066,6.0 at step 800640,-14.316736857096354,0.0,-5.890785853068034,0.00039152432919152444
471,1693390056.837688,953040,-96.89147448539734,0.041666666666666664,0.09000000357627869,6.0 at step 800640,-93.72731415430705,0.0,-3.1641639868418374,0.00039152432919152444
472,1693390058.783612,955072,-29.351725896199543,0.041666666666666664,0.09000000357627869,6.0 at step 800640,-21.810454686482746,0.0,-7.541271209716797,0.00039152432919152444
473,1693390060.7087722,957104,18.236302693684895,0.0,0.05999999865889549,6.0 at step 800640,25.407779375712078,0.0,-7.171476046244304,0.0003913424103117661
474,1693390062.6421251,959136,-51.92470041910807,0.0,0.019999999552965164,6.0 at step 800640,-46.427093505859375,0.0,-5.497608184814453,0.0003913424103117661
475,1693390064.581578,961168,-10.50667953491211,0.0,0.0,6.0 at step 800640,-3.99525515238444,0.0,-6.5114240646362305,0.0003913424103117661
476,1693390066.555326,963200,-12.003982543945312,0.0,0.0,6.0 at step 800640,-7.826985677083333,0.0,-4.17699670791626,0.0003913424103117661
477,1693390068.511904,965232,7.456842104593913,0.0,0.0,6.0 at step 800640,12.639196395874023,0.0,-5.18235429128011,0.0003913424103117661
478,1693390070.463551,967264,-14.495423952738443,0.0,0.0,6.0 at step 800640,-7.670936266581218,0.0,-6.824487845102946,0.000391158602959666
479,1693390072.389892,969296,-8.206579208374023,0.0,0.0,6.0 at step 800640,-2.933061122894287,0.0,-5.273518085479736,0.000391158602959666
480,1693390074.326665,971328,10.07747745513916,0.0,0.0,6.0 at step 800640,15.506354967753092,0.0,-5.428877512613933,0.000391158602959666
481,1693390076.261184,973360,5.91756534576416,0.0,0.0,6.0 at step 800640,11.164424578348795,0.0,-5.246858914693196,0.000391158602959666
482,1693390078.201364,975392,-12.97159512837728,0.0,0.0,6.0 at step 800640,-5.671818097432454,0.0,-7.2997768719991045,0.000391158602959666
483,1693390080.09683,977424,-16.329190889994305,0.0,0.0,6.0 at step 800640,-9.138480504353842,0.0,-7.19071102142334,0.0003909729089493286
